Name,Twitter Handle,Total Tweets,Favourites_Count,Followers,User_Id,User_Verified,User Location,Date of Tweet,Tweet Id,Tweet Text,Language,Tweet Source,Tweet Retweet,Tweet Reply To Id,Reply To Name,Tweet,Sentiment
b'TRUMPTON ..\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f',b'TheListenrrFor',584,576,644,1105901313802539009,False,b'',2019-03-13 18:39:54,1108518253503148037,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter Web Client',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'\xf0\x9f\x95\xafLittle_Sister_Brown\xf0\x9f\x95\xaf',b'Wishfulwhispers',1251,3954,473,160772254,False,"b'Tennessee, USA'",2010-06-29 02:45:31,1108514624293478400,b'@paulacblades001 @MrsMogul @RealDonalTrump Thank you Paula! I know that is one dark hole to get into!\n I want you t\xe2\x80\xa6 https://t.co/OENbXp37wa',b'en',b'Twitter for Android',0,986462159663017984,paulacblades001,"@paulacblades001 @MrsMogul @RealDonalTrump Thank you Paula! I know that is one dark hole to get into!
 I want you t… https://t.co/OENbXp37wa",b'Negative'
b'Mudd',b'PineTreePolitic',6711,2321,1045,822974000146038784,False,"b'Virginia, USA'",2017-01-22 01:07:46,1108514372614320128,b'@ddale8 Makes perfect sense to me for @realDonalTrump to lie about an accomplishment he had nothing to do with. Aft\xe2\x80\xa6 https://t.co/Ebzq3i9UWB',b'en',b'Twitter Web Client',0,225265639,ddale8,@ddale8 Makes perfect sense to me for @realDonalTrump to lie about an accomplishment he had nothing to do with. Aft… https://t.co/Ebzq3i9UWB,b'Positive'
b'LUVGODANDCOUNTRY',b'RhinoluvsUSA',35762,35386,17259,806950873758830593,False,"b'Colorado, USA'",2016-12-08 19:57:35,1108514236928389120,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter Web Client',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'Mrs. M \xe2\x98\x80\xef\xb8\x8f',b'MrsMogul',10023,5147,10487,1084151,False,b'In The Now',2007-03-13 12:40:23,1108508420821471233,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter Web Client',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'Cl\xc3\xa1udia Couto Serra 17\xf0\x9f\x87\xa7\xf0\x9f\x87\xb7',b'CludiaM43627376',35039,39103,1871,973770351372132358,False,"b'Arma\xc3\xa7\xc3\xa3o dos B\xc3\xbazios, Brasil'",2018-03-14 03:58:38,1108503408066117633,"b'RT @fn7k: O Presidente @realDonalTrump ficou feliz de o Presidente @jairbolsonaro ter usado termo \xe2\x80\x98fake news"".  https://t.co/i0wKWwMa47 via\xe2\x80\xa6'",b'pt',b'Twitter for Android',3,,,"RT @fn7k: O Presidente @realDonalTrump ficou feliz de o Presidente @jairbolsonaro ter usado termo ‘fake news"".  https://t.co/i0wKWwMa47 via…",b'Negative'
b'Roberto Silva',b'RobertoQra1000',9164,25431,499,1038493976985264128,False,"b'Campinas, Brasil'",2018-09-08 18:27:13,1108501034333323265,"b'RT @fn7k: O Presidente @realDonalTrump ficou feliz de o Presidente @jairbolsonaro ter usado termo \xe2\x80\x98fake news"".  https://t.co/i0wKWwMa47 via\xe2\x80\xa6'",b'pt',b'Twitter for Android',3,,,"RT @fn7k: O Presidente @realDonalTrump ficou feliz de o Presidente @jairbolsonaro ter usado termo ‘fake news"".  https://t.co/i0wKWwMa47 via…",b'Negative'
b'Dori Edson Da Silva',b'DoriEdsonDaSil1',15623,38212,336,889506656299732996,False,"b'Rio de Janeiro, Brasil'",2017-07-24 15:24:47,1108500874379313158,"b'RT @fn7k: O Presidente @realDonalTrump ficou feliz de o Presidente @jairbolsonaro ter usado termo \xe2\x80\x98fake news"".  https://t.co/i0wKWwMa47 via\xe2\x80\xa6'",b'pt',b'Twitter for Android',3,,,"RT @fn7k: O Presidente @realDonalTrump ficou feliz de o Presidente @jairbolsonaro ter usado termo ‘fake news"".  https://t.co/i0wKWwMa47 via…",b'Negative'
b'Fernando Andrade',b'fn7k',66605,9847,18943,177756468,False,b'',2010-08-13 00:14:25,1108500789184614400,"b'O Presidente @realDonalTrump ficou feliz de o Presidente @jairbolsonaro ter usado termo \xe2\x80\x98fake news"".\xe2\x80\xa6 https://t.co/haxxTIeL6Q'",b'pt',b'Twitter Web Client',3,,,"O Presidente @realDonalTrump ficou feliz de o Presidente @jairbolsonaro ter usado termo ‘fake news"".… https://t.co/haxxTIeL6Q",b'Negative'
b'Terri',b'MyBeachChair',60814,41742,341,2369782657,False,"b'Florida, USA'",2014-03-03 03:25:56,1108500599316844547,b'@NBCNews Perhaps @realdonaltrump can be a case study for seniors.',b'en',b'Twitter Web Client',0,14173315,NBCNews,@NBCNews Perhaps @realdonaltrump can be a case study for seniors.,b'Negative'
b'Skip Borden',b'SkipBorden',27109,25970,3600,730732544,False,b'Connecticut',2012-08-01 13:55:33,1108498927022682113,"b'@realDonalTrump You got 63,000,000 votes and Hillary Clinton got 66,000,000.  While Wharton didn\xe2\x80\x99t teach your bone\xe2\x80\xa6 https://t.co/H8dmAUzwgT'",b'en',b'Twitter for iPad',0,2797613484,RealDonalTrump,"@realDonalTrump You got 63,000,000 votes and Hillary Clinton got 66,000,000.  While Wharton didn’t teach your bone… https://t.co/H8dmAUzwgT",b'Negative'
b'Nick Antonacci',b'NickAntonacci1',3,0,0,1108427779606016001,False,b'',2019-03-20 17:59:11,1108496137705656326,"b'@realDonaldTrump @realDonalTrump someday when you stand before your Maker, and God is going to ask you ""What did yo\xe2\x80\xa6 https://t.co/w3IiKNJibr'",b'en',b'Twitter Web Client',0,25073877,realDonaldTrump,"@realDonaldTrump @realDonalTrump someday when you stand before your Maker, and God is going to ask you ""What did yo… https://t.co/w3IiKNJibr",b'Negative'
b'Steven d Robinette ',b'StevendRobinet2',869,4112,63,3360090268,False,"b'Tennessee, USA'",2015-07-05 06:18:55,1108493991581044736,b'@SecretaryPerry @RealDonalTrump Now mabey youll start looking at employment of folks who keep getting rejected gove\xe2\x80\xa6 https://t.co/VEDeKteUAr',b'en',b'Twitter for Android',0,830128820447539208,SecretaryPerry,@SecretaryPerry @RealDonalTrump Now mabey youll start looking at employment of folks who keep getting rejected gove… https://t.co/VEDeKteUAr,b'Negative'
b'\xf0\x9f\x90\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 HawG aNON \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x90\xb8',b'flyoverAmericn',7871,7924,761,1089748542787411968,False,b'',2019-01-28 04:54:33,1108485282486280192,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter for Android',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'ScurvyHash',b'Dj_Stedman',28931,18377,556,81262916,False,"b'Kingman, Az'",2009-10-10 02:39:48,1108482606620827648,b'@realDonalTrump this is a problem. California socialists are controlling the economy: Small business owner\xe2\x80\xa6 https://t.co/MrRWZwgDah',b'en',b'Twitter Web Client',0,2797613484,RealDonalTrump,@realDonalTrump this is a problem. California socialists are controlling the economy: Small business owner… https://t.co/MrRWZwgDah,b'Negative'
b'TrumpSouthTXGal\xf0\x9f\x99\x8b\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',b'Ace3Prince',17198,52874,4832,1039523018060517376,False,"b'Texas, USA'",2018-09-11 14:36:15,1108472742024757249,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter for iPhone',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
